Condor,TFX711G,TFX711G
Condor,PGN521,PGN521
Condor,PGN522,PGN522
Condor,PGN523,PGN523
Condor,Condor TGW102L,TGW102L
Condor,PGN513,PGN513
Condor,PGN514,PGN514
Condor,PGN515,PGN515
Condor,PGN516,PGN516
Condor,C7,PGN-506
Condor,PGN517,PGN517
Condor,Condor T705,TGW710G
Condor,PGN518,PGN518
Condor,C1+,C1+
Condor,Condor A9,PGN-507
Condor,Condor TGW801G,TGW801G
Condor,TFX712G,TFX712G
Condor,Condor C6+,PGN-508
Condor,HS-U939,HS-U939
Condor,Condor TGW801L,TGW801L
Condor,PGN410,PGN410
Condor,Griffe G5,Griffe G5PHQ520
Condor,PGN511,PGN511
Condor,PGN611,PGN611
Condor,PGN404,PGN404
Condor,Condor TGW706,TGW706
Condor,PGN605,PGN605
Condor,PGN507,PGN-507
Condor,PGN606,PGN606
Condor,PGN409,PGN409
Condor,PGN607,PGN607
Condor,PGN509,PGN509
Condor,PGN608,PGN608
Condor,C_5,C-6
Condor,PGN609,PGN609
Wink,Wink City S,Wink_City_S
Wink,Wink Share SE,Wink_Share_SE
Danew,DSlide 710,Dslide710
Danew,Danew DSlide 750,DSlide750
Danew,Danew Dslide 1013,DSlide 1013
Danew,DANEW Dslide971DC,Dslide971DC
Doro,DSB0010,Doro 8030
Doro,Liberto 820,Doro Liberto 820
Doro,Doro 8031,Doro 8031
Doro,Doro 824,Doro 824
Doro,Liberto 810,Doro Liberto 810Doro Liberto 810-orangeDoro Liberto 810
Doro,Liberto 820 Mini,Doro Liberto 820 Mini
Doro,Liberto 822 / 8030,Doro 8030Doro 8030/8031/8028Doro 8031Doro Liberto 822
Doro,Doro Liberto 820 Mini,Doro Liberto 820 Mini
Doro,Doro 822,Doro 8030Doro 8031
Doro,825A,Doro 824Doro Liberto 825
Doro,Doro Liberto 825,825_T-Mobile
Doro,doro 824,Doro 824
Astro Queo,A712,A712
Fujitsu,Raku-Raku SMART PHONE2 F-08E,F-08E
Fujitsu,ARROWS ES IS12F,IS12F
Fujitsu,M555,M555
Fujitsu,M02,M02
Fujitsu,F-01H,F-01H
Fujitsu,F-02H,F-02H
Fujitsu,F-02G,F-02G
Fujitsu,F-02F,F-02F
Fujitsu,ARROWS NX F-06E,F-06E
Fujitsu,ARROWS A SoftBank 201F,201F
Fujitsu,FARTMB611Y,FARTMB611Y
Fujitsu,ARROWS ef FJL21,FJL21
Fujitsu,FHMD001,FHMD001
Fujitsu,SZJ-JS101,SZJ-JS101
Fujitsu,F-06F,F-06F
Fujitsu,FARTM933KZ,FARTM933KZ
Fujitsu,ARROWS Tab Wi-Fi FAR75A/70A,FAR7
Fujitsu,ARROWS X F-10D,F-10D
Fujitsu,arrowsM03,arrowsM03
Fujitsu,ARROWS X F-02E,F-02E
Fujitsu,arrows M02,M02
Fujitsu,Disney Mobile on docomo F-07E,F-07E
Fujitsu,ARROWS Tab Wi-Fi FAR70B,FAR70B
Fujitsu,ARROWS M305,M305
Fujitsu,ARROWS S EM01F,EM01F
Fujitsu,ARROWS Z ISW11F,ISW11F
Fujitsu,M305,M305M305
Fujitsu,STYLISTIC M702,M702
Fujitsu,ARROWS Tab F-05E,F-05E
Fujitsu,ARROWS V F-04E,F-04E
Fujitsu,F-09D ANTEPRIMA,F-09D
Fujitsu,FARTM9334P1,FARTM9334P1
Fujitsu,ARROWS M01,M01
Fujitsu,ARROWS Tab LTE F-01D,F-01D
Fujitsu,REGZA Phone IS11T,IS11T
Fujitsu,ARROWS Me F-11D,F-11D
Fujitsu,ARROWS mu F-07D,F-074F-07DFJJB091
Fujitsu,Raku-Raku SMART PHONE F-12D,F-12D
Fujitsu,ARROWS Tab FJT21,FJT21
Fujitsu,F-01F,F-01F
Fujitsu,STYLISTIC S01,S01-orange
Fujitsu,F-05G,F-05G
Fujitsu,F-05F,F-05F
Fujitsu,ARROWS M555,M555M555
Fujitsu,ARROWS A SoftBank 301F,301F
Fujitsu,F-09E,F-09E
Fujitsu,Disney Mobile on docomo F-08D,F-08D
Fujitsu,STYLISTIC M532,M532
Fujitsu,arrows Tab M01T,M01T
Fujitsu,M363/P,M363/P
Fujitsu,TM20,TM20
Fujitsu,ARROWS Kiss F-03E,F-03E
Fujitsu,F-04H,F-04H
Fujitsu,ARROWS Kiss F-03D,F-03D
Fujitsu,F-04G,F-04G
Fujitsu,F-04F,F-04F
Fujitsu,F-12C,F-12C
Fujitsu,REGZA Phone T-02D,T-02D
Fujitsu,RM02,RM02
Fujitsu,STYLISTIC MH350,MH350
Fujitsu,ARROWS X LTE F-05D,F-05D
Fujitsu,STYLISTIC M350/CA2,M350
Fujitsu,ARROWS Z ISW13F,ISW13F
Fujitsu,Patio100,Patio100Patio100_3G
Fujitsu,F-03H,F-03H
Fujitsu,F-03G,F-03G
Fujitsu,F-03F,F-03F
Fujitsu,REGZA Phone T-01D,T-01D
Fujitsu,ARROWS A SoftBank 101F,101F
Fujitsu,REGZA Phone T-01C,IS04T-01C
Fujitsu,ARROWS Z FJL22,FJL22
Fujitsu,ARROWS A SoftBank 202F,202F
﻿Retail Branding,Marketing Name,Model
7Eleven,IN265,IN265
NGM Italia SRL,E506plus,E506plus
NGM Italia SRL,NGM Youcolor E450,E450
NGM Italia SRL,P508,P508
NGM Italia SRL,E451,E451
NGM Italia SRL,P509,P509
NGM Italia SRL,P503,NGM P503
NGM Italia SRL,Danamic Now,Now
NGM Italia SRL,E553,E553
NGM Italia SRL,NGM Youcolor E501,E501
NGM Italia SRL,Endurance,ForwardEndurance
NGM Italia SRL,ForwardZero,ForwardZero
NGM Italia SRL,NGM Youcolor E505,E505
NGM Italia SRL,Ruby,Forward RubyForwardRuby
NGM Italia SRL,NGM Youcolor E507,E507
NGM Italia SRL,LIFE,Life
NGM Italia SRL,NGM Youcolor E506,E506
NGM Italia SRL,P551,P551
